"Sample ID","Sentence ID","Tree","Parsed","Valid","Sentence"
8,5,0,0,,"turn on the television to channel 3 and increase the volume to 50"
17,3,0,0,,"put the pillows on the couch turn the tv on and put the xbox controller on the table"
18,6,0,0,,"put the garbage bag inside the garbage bin and place the bin near the two seater couch"
22,1,0,0,,"next grab a bowl"
22,4,0,0,,"put the cup and bowl next to each other , along with a spoon"
23,1,0,0,,"grab spoon and use it to put ice cream in coffee mug"
27,2,0,0,,"use the ice cream scoop to add ice cream to the bowl twice"
27,4,0,0,,"get the syrup and squirt two tablespoons on top"
29,0,0,0,,"put the xbox in front of the tv and hook up the wires and plug it into an outlet"
29,2,0,0,,"change the input of the tv to display the xbox"
31,5,0,0,,"place the instant ramen , ramen , and salt bottle into their designated pantries"
34,0,0,0,,"put the pot in the sink and fill it up three quarters of the way with water"
36,1,0,0,,"put the pot on the stove and turn the heat of the appropriate burner on medium"
36,4,0,0,,"after a few minutes pour the contents of the pot into a bowl"
43,3,0,0,,"arrange couches in organized position"
46,5,0,0,,"place the instant ramen to its designated pantry"
47,0,0,0,,"open the cup of instant ramen halfway and fill it up with water from the sink"
47,1,0,0,,"flatten the cover and put the instant ramen into the microwave and cook it for the specified time on the cup"
48,0,0,0,,"put coffee in cup open the freezer and put ice cream in it then add chocolate syrup"
49,0,0,0,,"put all the school books on the table turn off the tv and get chips and soda on the table"
53,0,0,0,,"place all the school books on the table turn off the tv and put chips and soda on the table"
55,0,0,0,,"if anything is disposable and used , put it in the trash bag"
55,1,0,0,,"if it is not disposable and on the floor , put it on the table nearest any items associated with it"
55,2,0,0,,"if a not disposable item contains only disposable objects , dump them into the trash bag , and treat the object like it was on the floor"
56,0,0,0,,"put the cd's next to the tv , trash any open food and place all the controllers and remotes on the table and pick up the pillows"
59,0,0,0,,"put all the cd's on the table get chips and soda and make sure the pillows are on the couch"
60,0,0,0,,"take coffee from the container pour it into mug"
61,0,0,0,,"place both cd's and both books (brown and guiness) on top of the shelf in the corner of the room"
61,2,0,0,,"place all couches on the side of one wall"
61,4,0,0,,"put one of the cd's into the xbox console and place the xbox console near the television and turn on the power"
62,1,0,0,,"make sure the xbox is next to the tv"
64,0,0,0,,"put the xbox and the xbox controllet on the shelf"
69,1,0,0,,"make sure they are connected"
69,2,0,0,,"open the disk tray of the xbox and insert the dvd after removing it from its case"
69,7,0,0,,"take the pillows and divide them evenly among the chairs"
69,8,0,0,,"clean anything trash unless it's needed above"
70,0,0,0,,"put the used dishes and cups in the sink and place all the items neatly on the counter"
71,1,0,0,,"hold the trash bag in one hand and place the plate inside the bag"
71,3,0,0,,"arrange the couches in the correct locations in the living room"
71,6,0,0,,"place the three pillows on the couches"
73,0,0,0,,"fill the pot with water in the sink the boil it on the stove"
76,3,0,0,,"make sure all the books are on the shelf"
77,2,0,0,,"wait for the water in the pot to boil open the ramen packet and dump contents into boiling water"
77,3,0,0,,"read the instructions and prepare accordingly"
79,0,0,0,,"get the water pour into bowl"
80,0,0,0,,"get the water pour into bowl"
82,2,0,0,,"put the couches in their correct locations"
82,3,0,0,,"turn on the television and put to channel 20 and play the movie"
83,0,0,0,,"take the pot to the stove and fill it up half way with water"
83,2,0,0,,"open the cup of ramen and wait for the water to boil"
83,3,0,0,,"when the water is boiling , pour the cup of ramen's contents into the pot"
83,4,0,0,,"turn the stove off when it is done cooking"
84,7,0,0,,"remove anything from the table that does not contain food"
84,8,0,0,,"place every xbox controller on the table"
84,9,0,0,,"rotate the couches so that the backs face directly away from the tv"
86,0,0,0,1,"gather all cups , plates , mugs , and utensils and put them in the sink one at a time"
87,0,0,0,,"place ramen and instant ramen into pot and cook on top of the stove"
91,0,0,0,1,"prepare the coffee using hot water"
91,1,0,0,1,"place two scoops of ice cream into the mug"
91,3,0,0,1,"drizzle with syrup"
92,2,0,0,1,"using an ice cream scoop , add ice cream to the bowl twice"
92,5,0,0,1,"add two squirts of the bottle to the bowl"
94,0,0,0,1,"gather all the cups , plates , mugs , pots , and utensils and put them in the sink one at a time"
97,2,0,0,1,"add the ramen to the water after ten minutes"
97,3,0,0,1,"after the ramen is added , wait a few more minutes and then pour the contents of the pot slowly into a bowl"
99,0,0,0,,"place pot on top of the stove and turn the stove on"
99,1,0,0,,"wait for the water to boil"
106,0,0,0,,"move the couches on one side of the wall"
106,1,0,0,,"place the table and desk against another side of the wall"
106,2,0,0,,"pick up anything from the floor and place it to its designated location"
107,0,0,0,,"take mug out the microwave and place two scoops of ice cream into the mug"
107,1,0,0,,"pour the coffee on top"
107,2,0,0,,"drizzle with the vanilla syrup"
110,6,0,0,1,"open the chips , and pour them into the bowl until is is full"
110,8,0,0,,"take all pillows and divide them evenly among the chairs"
112,0,0,0,,"throw away the open bag of chips"
112,2,0,0,,"put the far cry game cd back into its case"
112,6,0,0,,"pick up the book next to the television and put it back on the desk"
113,5,0,0,,"change the tv channel until a dance music themed station is found"
113,7,0,0,,"move all chairs and tables to the edge of the room"
113,8,0,0,,"make sure the chairs are rotated so that they face the room's center"
114,1,0,0,,"make sure it contains coffee"
114,2,0,0,,"if it contains coffee , put it in the microwave"
114,3,0,0,,"otherwise add coffee and water"
114,6,0,0,,"using a n ice cream scoop , add ice cream to the bowl twice"
114,8,0,0,,"add two squirts of the syrup"
115,0,0,0,,"put all dirty dishes into the sink , cups , plates , forks , the pot and all"
115,2,0,0,,"put flavors in the cupboard"
116,2,0,0,,"put everything else into the fridge"
117,3,0,0,,"slowly add milk to the cup until is is 7/8 full"
121,0,0,0,,"pour the pot's contents into the trash and place all glasses and mugs into the sink"
122,4,0,0,,"clear all non-food or drink items from the coffee table"
122,7,0,0,,"open the bag of chips and pour the contents into the bowl until it's full"
122,8,0,0,,"divide the pillows up evenly among the chairs"
125,3,0,0,,"remove all non-food and drink items and put them on shelves"
125,7,0,0,,"move all chairs and tables so that they're against the walls"
127,0,0,0,,"there's coffee in the mug on the table; take that , look in the freezer for some ice cream"
128,2,0,0,,"put the pot on a burner on the stove on medium heat"
128,4,0,0,,"wait fifteen minutes"
129,0,0,0,,"take the pot that already has some water in it"
129,1,0,0,,"put it on one of the burners , and turn it on"
131,1,0,0,,"bring all non-alcoholic drinks to the table"
131,3,0,0,,"open the chips and pour them into the bowl until it filled"
131,5,0,0,,"turn off the tv if needed"
132,2,0,0,,"put two scoops of ice cream into this white bowl , then put vanilla and chocolate syrup over it"
136,1,0,0,,"add water from the faucet until it overflows"
137,0,0,0,,"if any of the pots or dishes have food on or in them , dump them out in the garbage can , then put them in the sink"
137,1,0,0,,"the syrups can go into the fridge , and the instant ramen should go back into a cabinet"
138,1,0,0,,"put xbox and its controller on the low big table"
140,1,0,0,,"using a spoon add two cups of ice cream carefully to the mug"
140,2,0,0,,"add one squirt of each chocolate and vanilla syrup to the mug"
142,1,0,0,,"put away water , ramen , and flavors in the cupboard"
143,2,0,0,,"move the two seats away from the desk"
144,3,0,0,,"move all furniture to the sides of the room"
146,2,0,0,,"turn the volume on the tv up all the way"
146,3,0,0,,"move the tables and chair so that they are on the wall"
147,1,0,0,,"go to the sink , fill the ramen cup with water up to the indicated line"
148,6,0,0,,"put books on the study desk"
149,1,0,0,,"change the channel so a movie is playing"
150,3,0,0,,"put coffee into the white bowl , then put two scoops of ice cream over that"
150,4,0,0,,"finally , take the syrup on the counter and drizzle it over the ice cream"
151,1,0,0,,"take the bowl and pour the chips into it; throw away the bag afterwards"
152,2,0,0,,"move the couch so that it's in front of the xbox"
153,0,0,0,,"boil some water with the pot and pour water into a clean mug"
153,2,0,0,,"stir the mug with a clean spoon for half a minute"
155,1,0,0,,"heat the pot on the stove until the water boils for two minutes"
157,0,0,0,,"fill the mug with water from the sink and put it into the microwave oven"
157,1,0,0,,"turn on the oven for 10minutes"
158,0,0,0,,"fill the pot with water up to tow thirds and boil it on the stove for 10 minutes"
159,1,0,0,,"fill the pot with water up to two thirds"
166,1,0,0,,"place anything related to the xbox in the cabinet under the tv"
167,1,0,0,1,"dump the bowl in the trash and put it in the sink in the kitchen"
167,5,0,0,,"take everything related to the xbox and put it in the cabinet under the tv"
168,3,0,0,,"put it on the back burner and boil the water"
168,4,0,0,,"open the ramen and pour in enough water"
168,6,0,0,,"give the ramen and ginger ale to who wants it"
170,2,0,0,,"take anything related to the xbox and put it in the cabinet under the tv"
171,0,0,0,,"take the icecream out of the freezer and put several scoops in the cup with the coffee in it"
171,1,0,0,,"put chocolate and vanilla syrup on top"
172,0,0,0,,"take the pot , fill it halfway with water , put in on the right burner and turn it on"
172,2,0,0,,"take the egg out of the pot , place it in the bowl , and then take a cup from the counter and fill it with cold water from the sink"
173,0,0,0,,"boil some water in a clean pot"
173,1,0,0,,"open the ramen and put enough water in"
174,0,0,0,,"dump the bowl into the trash and take the bowl to the kitchen"
174,5,0,0,,"turn all chairs to face the tv"
175,0,0,0,,"fill a clean pot with water and boil it"
175,1,0,0,,"open the ramen and put enough water in"
176,1,0,0,,"fill the cup with energy drink until halfway full , and then serve both the egg and the cup"
177,1,0,0,,"put everything related to the xbox on the shelf"
177,2,0,0,,"dump the bowl into the trash and take the bowl to the kitchen"
179,0,0,0,,"take the ice cream out of the freezer and put several scoops into the cup with the coffee in it"
179,1,0,0,,"pour chocolate and vanilla syrup on top"
181,0,0,0,,"change the channel to channel 5"
