"Sample ID","Sentence ID","Tree","Parsed","Valid","Sentence"
18,4,0,1,1,"place the bowl of food , beer , and coke on the center table"
24,0,0,1,1,"123"
37,0,0,1,1,"test"
60,1,0,1,1,"scoop the ice-cream and pour syrup"
61,3,0,1,1,"put the garbage bag inside the bin and place near the wall and near the counter"
62,4,0,1,1,"and throw out any garbage"
69,4,0,1,1,"find and open the bag of chips"
69,5,0,1,1,"find a large bowl , and pour chips into it until it is filled"
84,5,0,1,1,"open the bag of chips and pour them into the bowl until it is full"
104,5,0,1,1,"open the bag of chips , and pour the contents into the bowl until it is full"
110,2,0,1,1,"place the dvd in the tray and close it"
113,3,0,1,1,"open the chips , and pour them into the chip bowl until it is full"
113,6,0,1,1,"turn the volume to full"
117,5,0,1,1,"add cereal to the bowl until it is full"
125,2,0,1,1,"turn the tv volume up to full"
125,6,0,1,1,"open the chips and pour them into the bowl until it is full"
136,0,0,1,1,"get and open the instant ramen"
151,0,0,1,1,"turn on the television , change the channel until you find a movie"
172,1,0,1,1,"wait until the water is boiling , and then take the egg from the fridge and place it in the pot for 3 minutes"
176,2,0,1,1,"also , bring the salt shaker"
192,1,0,1,1,"connect the xbox to the tv , and turn both on"
201,3,0,1,1,"put chips in bowl and serve"
220,1,0,1,1,"then put the pot on the stove and turn on the stove"
220,5,0,1,1,"then turn off the microwave and remove the mug"
224,3,0,1,1,"also , put the beer , the coke and the bowl on the shelf"
226,1,0,1,1,"then turn of the tap"
227,1,0,1,1,"then , add chocolate syrup to the mug"
229,0,0,1,1,"take the ramen and add it to the pot"
229,2,0,1,1,"then , put the pot on the stove and turn on the stove for two minutes"
233,2,0,1,1,"then add syrup to the mug"
244,1,0,1,1,"remove beer , bowl , and trash bag on floor and dispose"
252,1,0,1,1,"then get the mug with coffee in it and also place it by the plate with the ice cream and syrup"
260,1,0,1,1,"then turn on the tv and put a movie inside the xbox"
262,0,0,1,1,"bring xbox and controller closer to the tv and set up"
264,1,0,1,1,"then go to the counter and get the plate and put the egg on the plate"
288,1,0,1,1,"when boiling , place in the cup with instant ramen"
293,0,0,1,1,"put the game in the xbox , take the chips and pour its contents in the bowl , arrange the couches around the tv , turn on the tv , and place the xbox controller on the table"
295,1,0,1,1,"then put it in the microwave and heat it up"
304,0,0,1,1,"place glass , long cup , long cup , mug and canada dry on the table against the wall"
305,0,0,1,1,"place glass , long cup , long cup , mug and canada dry on the table against the wall"
319,1,0,1,1,"prepare some coffee for me with milk and sugar"
351,1,0,1,1,"put a music cd into the xbox and play"
373,3,0,1,1,"then grasp syrup and squeeze the bottle"
406,1,0,1,1,"then place it on the stove"
412,2,0,1,1,"game cd is on the shelf"
424,1,0,1,1,"then put syrup into the fridge"
446,0,0,1,1,"on"
457,9,0,1,1,"and pour chips onto plate"
476,7,0,1,1,"serve"
521,1,0,1,1,"then , wash the dishes"
539,1,0,1,1,"then , stack the dishes near the sink to dry"
612,1,0,1,1,"then , take the syrup and squeeze over the cereal"
619,1,0,1,1,"put pop corn in the microwave and serve"
622,1,0,1,1,"serve hot"
635,2,0,1,1,"place on back right burner"
