"Sample ID","Sentence ID","Tree","Parsed","Valid","Sentence"
8,1,0,0,0,"place all of the couches on one side of the wall , preferably facing the television"
21,0,1,1,1,"open the fridge and get the boiled egg and put it on plate 2"
21,1,1,1,1,"open the fridge and get the canada dry and put it next to plate 2"
61,5,0,0,0,"music can play from there"
66,0,0,0,0,"put cs to game box"
66,1,0,0,0,"bring is bag of chips and the coke"
325,0,0,0,0,"-cake-egg-milk-serve"
326,0,0,0,0,"-drink-food-books-paper"
327,0,0,0,0,"-drink-food-books-paper"
328,0,0,0,0,"-movie-popcorn-drinks"
329,0,0,0,0,"-food-drinks-movie"
330,0,0,0,0,"-take coffee-ice cream-milk-syrup"
331,0,0,0,0,"-arrange things-trash waste"
370,0,0,0,0,"grasp plate 1 and plate 2"
434,1,0,1,1,"make pankcakes"
434,2,0,1,1,"i'll take a plate"
456,0,1,1,1,"i am hungry  , i will make some breakfast"
456,1,1,1,1,"do you also want something?"
456,4,0,0,0,"what about cereals?"
456,5,0,0,0,"would you like to eat on the table or on the couch?"
474,0,0,0,0,"get a put"
484,1,0,0,0,"popcorn is preferred when watching movies"
586,0,1,1,1,"put ice cream in the fridge - put away fork and spoon - put away salt - put away vanilla syrup"
592,4,1,1,1,"place controller on table ,"
611,1,1,1,1,"take a tea bag and left for 3 min and serve"
614,0,1,1,1,"turn off tv and put book 2 over the table"
618,0,0,0,0,"clean dishes and pick-up things from counter"
631,1,1,1,1,"goto fridge"
631,4,1,1,1,"goto stove"
633,1,1,1,1,"pick up remote 1"
633,2,1,1,1,"pick up controller 1"
