"Sample ID","Sentence ID","Tree","Parsed","Valid","Sentence"
2,0,0,0,1,"put the pot in the sink and then fill it up with water"
2,1,0,0,1,"put the pot on the stove and then turn on the stove"
6,1,0,0,1,"take the mug from the microwave and pour its contents into the sink and then place it in the sink"
7,0,0,0,1,"take coffee pot pour into the mug"
8,0,0,0,1,"place the xbox and xbox controller underneath the television console"
8,2,0,0,1,"place all of the beer and bags of chips on the white counter"
8,3,0,0,1,"place the garbage bin near the white counter"
8,5,0,0,1,"turn on the television to channel 3 and increase the volume to 50"
17,3,0,0,1,"put the pillows on the couch turn the tv on and put the xbox controller on the table"
18,6,0,0,1,"put the garbage bag inside the garbage bin and place the bin near the two seater couch"
22,0,0,0,1,"grab a cup , and fill the cup with milk"
22,1,0,0,1,"next grab a bowl"
22,4,0,0,1,"put the cup and bowl next to each other , along with a spoon"
23,1,0,0,1,"grab spoon and use it to put ice cream in coffee mug"
27,2,0,0,1,"use the ice cream scoop to add ice cream to the bowl twice"
27,4,0,0,1,"get the syrup and squirt two tablespoons on top"
29,0,0,0,1,"put the xbox in front of the tv and hook up the wires and plug it into an outlet"
29,2,0,0,1,"change the input of the tv to display the xbox"
31,4,0,0,1,"empty the contents of the mug into the sink and clean the sink with the running water"
31,5,0,0,1,"place the instant ramen , ramen , and salt bottle into their designated pantries"
34,0,0,0,1,"put the pot in the sink and fill it up three quarters of the way with water"
34,2,0,0,1,"when the water is boiling , turn the stove off"
36,1,0,0,1,"put the pot on the stove and turn the heat of the appropriate burner on medium"
36,4,0,0,1,"after a few minutes pour the contents of the pot into a bowl"
43,3,0,0,,"arrange couches in organized position"
46,1,0,0,1,"empty the contents of the glass and mug into the sink and rinse the dishes"
46,3,0,0,1,"grab the vanilla syrup bottle and chocolate syrup bottle , and open the fridge door"
46,5,0,0,1,"place the instant ramen to its designated pantry"
47,0,0,0,1,"open the cup of instant ramen halfway and fill it up with water from the sink"
47,1,0,0,,"flatten the cover and put the instant ramen into the microwave and cook it for the specified time on the cup"
48,0,0,0,,"put coffee in cup open the freezer and put ice cream in it then add chocolate syrup"
49,0,0,0,1,"put all the school books on the table turn off the tv and get chips and soda on the table"
52,1,0,0,1,"take the mug from the microwave and empty its contents into the sink and put it in the sink"
53,0,0,0,1,"place all the school books on the table turn off the tv and put chips and soda on the table"
55,0,0,0,1,"if anything is disposable and used , put it in the trash bag"
55,1,0,0,1,"if it is not disposable and on the floor , put it on the table nearest any items associated with it"
55,2,0,0,,"if a not disposable item contains only disposable objects , dump them into the trash bag , and treat the object like it was on the floor"
56,0,0,0,,"put the cd's next to the tv , trash any open food and place all the controllers and remotes on the table and pick up the pillows"
57,2,0,0,,"bring the other chairs around the table in front of the couch"
59,0,0,0,,"put all the cd's on the table get chips and soda and make sure the pillows are on the couch"
60,0,0,0,,"take coffee from the container pour it into mug"
61,0,0,0,,"place both cd's and both books (brown and guiness) on top of the shelf in the corner of the room"
61,2,0,0,,"place all couches on the side of one wall"
61,4,0,0,,"put one of the cd's into the xbox console and place the xbox console near the television and turn on the power"
62,0,0,0,,"put all cds and games next to the xbox"
62,1,0,0,,"make sure the xbox is next to the tv"
62,2,0,0,,"put the controllers and remotes on the table"
64,0,0,0,,"put the xbox and the xbox controllet on the shelf"
65,1,0,0,,"make an egg on the stove and then bring it to me"
68,1,0,0,1,"cook some eggs on the stove and then bring it to me"
69,1,0,0,,"make sure they are connected"
69,2,0,0,,"open the disk tray of the xbox and insert the dvd after removing it from its case"
69,5,0,0,,"find a large bowl , and pour chips into it until it is filled"
69,7,0,0,,"take the pillows and divide them evenly among the chairs"
69,8,0,0,,"clean anything trash unless it's needed above"
70,0,0,0,,"put the used dishes and cups in the sink and place all the items neatly on the counter"
71,1,0,0,,"hold the trash bag in one hand and place the plate inside the bag"
71,2,0,0,,"place the empty coke can , beer , and bag of chips into the trash bag"
71,3,0,0,,"arrange the couches in the correct locations in the living room"
71,6,0,0,,"place the three pillows on the couches"
72,1,0,0,,"boil water on the stove and pour ramen to boiled water"
73,0,0,0,,"fill the pot with water in the sink the boil it on the stove"
76,0,0,0,,"put the pillows on the couch , play some music on the xbox through the tv"
76,3,0,0,,"make sure all the books are on the shelf"
77,2,0,0,,"wait for the water in the pot to boil open the ramen packet and dump contents into boiling water"
77,3,0,0,,"read the instructions and prepare accordingly"
79,0,0,0,,"get the water pour into bowl"
80,0,0,0,,"get the water pour into bowl"
80,3,0,0,,"pour ramen ino the bowl"
81,0,0,0,,"get the water pour into bowl"
81,3,0,0,,"pour ramen ino the bowl"
82,2,0,0,,"put the couches in their correct locations"
82,3,0,0,,"turn on the television and put to channel 20 and play the movie"
82,5,0,0,,"turn of the lights"
83,0,0,0,,"take the pot to the stove and fill it up half way with water"
83,2,0,0,,"open the cup of ramen and wait for the water to boil"
83,3,0,0,,"when the water is boiling , pour the cup of ramen's contents into the pot"
83,4,0,0,,"turn the stove off when it is done cooking"
84,1,0,0,,"open the disk tray of the xbox and remove the video game disk from its case"
84,3,0,0,,"place the case on the table"
84,4,0,0,,"place a large bowl on the table"
84,6,0,0,,"place the bag next to the bowl"
84,7,0,0,,"remove anything from the table that does not contain food"
84,8,0,0,,"place every xbox controller on the table"
84,9,0,0,,"rotate the couches so that the backs face directly away from the tv"
86,0,0,0,,"gather all cups , plates , mugs , and utensils and put them in the sink one at a time"
87,0,0,0,,"place ramen and instant ramen into pot and cook on top of the stove"
88,0,0,0,,"put all the pillows on the couch and then turn on the tv"
91,0,0,0,,"prepare the coffee using hot water"
91,1,0,0,,"place two scoops of ice cream into the mug"
91,3,0,0,,"drizzle with syrup"
92,2,0,0,,"using an ice cream scoop , add ice cream to the bowl twice"
92,5,0,0,,"add two squirts of the bottle to the bowl"
94,0,0,0,,"gather all the cups , plates , mugs , pots , and utensils and put them in the sink one at a time"
95,3,0,0,,"turn the television and move to the desired channel to watch the movie"
96,1,0,0,,"empty the contents of the bowl into the garbage bag"
97,2,0,0,,"add the ramen to the water after ten minutes"
97,3,0,0,,"after the ramen is added , wait a few more minutes and then pour the contents of the pot slowly into a bowl"
99,0,0,0,,"place pot on top of the stove and turn the stove on"
99,1,0,0,,"wait for the water to boil"
99,2,0,0,,"get the ramen and empty contents into hot water into the pot"
101,0,0,0,,"insert my gamecd into the dvd"
101,1,0,0,,"put my xbox and xbox controller on the table in front of the coach"
104,0,0,0,,"turn off the tv and the xbox if applicable"
104,5,0,0,,"open the bag of chips , and pour the contents into the bowl until it is full"
104,6,0,0,,"move all chairs around the coffee table"
106,0,0,0,,"move the couches on one side of the wall"
106,1,0,0,,"place the table and desk against another side of the wall"
106,2,0,0,,"pick up anything from the floor and place it to its designated location"
107,0,0,0,,"take mug out the microwave and place two scoops of ice cream into the mug"
107,1,0,0,,"pour the coffee on top"
107,2,0,0,,"drizzle with the vanilla syrup"
110,0,0,0,,"put xbox controller by the xbox"
110,1,0,0,,"open the dvd case and xbox disk tray"
110,3,0,0,,"leave the case near the xbox"
110,6,0,0,,"open the chips , and pour them into the bowl until is is full"
110,8,0,0,,"take all pillows and divide them evenly among the chairs"
111,0,0,0,,"insert the gamecd into the dvd"
111,1,0,0,,"put both xbox and xbox controller onto the table in front of the coaches"
112,0,0,0,,"throw away the open bag of chips"
112,2,0,0,,"put the far cry game cd back into its case"
112,4,0,0,,"place the xbox controller next to the console"
112,6,0,0,,"pick up the book next to the television and put it back on the desk"
113,0,0,0,,"clear all tables and the floor and put the contents on the shelves"
113,3,0,0,,"open the chips , and pour them into the chip bowl until it is full"
113,5,0,0,,"change the tv channel until a dance music themed station is found"
