"Sample ID","Sentence ID","Tree","Parsed","Valid","Sentence"
0,0,1,1,1,"take the coffee"
0,1,1,1,1,"pour it to the mug"
0,2,1,1,1,"put ice cream and the syrup to the mug"
1,0,1,1,1,"take all cups , mugs , spoons , and forks and place in sink"
1,1,1,1,1,"toggle sink on"
1,2,1,1,1,"arrange all other small items on counter"
2,0,1,1,1,"put the pot in the sink and then fill it up with water"
2,1,1,1,1,"put the pot on the stove and then turn on the stove"
2,2,1,1,1,"get the ramen and put it in pot when the water in the pot is boiling"
3,0,1,1,1,"grab the ramen and add water"
3,1,1,1,1,"place it in the microwave"
4,0,1,1,1,"put the movie in the xbox and turn the television input to xbox"
4,1,1,1,1,"put bag of chips on table"
4,2,1,1,1,"put pillows on couch"
5,0,1,1,1,"put the xbox controller and remote on the desk"
5,2,1,1,1,"put the cd's on the shelf"
7,1,1,1,1,"take spoon from counter scoop the ice cream"
7,2,1,1,1,"put ice cream to the mug"
7,3,1,1,1,"pour syrup to the mug"
8,2,1,1,1,"place all of the beer and bags of chips on the white counter"
8,3,1,1,1,"place the garbage bin near the white counter"
8,4,1,1,1,"place the trash bag inside the garbage bin"
8,6,1,1,1,"place the cd's on a shelf"
8,7,1,1,1,"place the coke can on the counter along with the beer and chips"
9,0,1,1,1,"put the pot in the sink , fill it up and boil the water on the stove"
10,0,1,1,1,"put the game in the  xbox"
10,1,1,1,1,"turn the television input to xbox"
10,2,1,1,1,"put bag of chips and coke on table"
10,3,1,1,1,"move couch in front of television"
11,0,1,1,1,"turn off the tv"
11,1,1,1,1,"put snacks and books on the table"
12,0,1,1,1,"put pillows on couch"
12,1,1,1,1,"put beer and chips in trash can"
13,0,1,1,1,"turn music on"
13,1,1,1,1,"put beer and chips on table"
14,0,1,1,1,"grab the game cd"
14,1,1,1,1,"place the cd in the xobx"
14,3,1,1,1,"take the pillow from the shelf and put it to the couch"
15,0,1,1,1,"put the pillows on the couch and turn the chairs towards the tv"
15,1,1,1,1,"open the bag of chips and pour it onto the plate"
16,0,1,1,1,"open refrigerator"
16,1,1,1,1,"grab food and drink"
16,2,1,1,1,"grab cups and plates"
17,0,1,1,1,"put all the cds on the table in front of the couch"
17,1,1,1,1,"pour some chips"
17,2,1,1,1,"put soda on the table"
18,0,1,1,1,"place the tv remote on the center table"
18,1,1,1,1,"bring the xbox and xbox controllers in front of the television"
18,2,1,1,1,"plug in the xbox to the television and activate all game controllers"
18,3,1,1,1,"place the controllers on the center table"
18,4,1,1,1,"place the bowl of food , beer , and coke on the center table"
18,5,1,1,1,"fix the pillows on the couch"
19,0,1,1,1,"turn music on"
19,1,1,1,1,"dispose of garbage bag"
19,2,1,1,1,"put pillow on couch"
19,3,1,1,1,"put bowl and beer and coke on table"
20,0,1,1,1,"fill pot with water"
20,1,1,1,1,"put pot on stove"
20,2,1,1,1,"turn stove on"
22,0,1,1,1,"grab a cup , and fill the cup with milk"
22,2,1,1,1,"fill the bowl with cereal"
22,3,1,1,1,"slowly add milk to the same bowl"
23,0,1,1,1,"open freezer door and grab ice cream"
23,2,1,1,1,"grab chocolate syrup bottle and add to coffee"
25,0,1,1,1,"grab plates and cups and bring to sink"
25,1,1,1,1,"put ice cream in freezer"
26,0,1,1,1,"turn stove on"
26,1,1,1,1,"grab pot and bring to sink"
26,2,1,1,1,"fill pot with water"
26,3,1,1,1,"put pot on stove"
27,0,1,1,1,"make coffee"
27,1,1,1,1,"take a bowl , ice cream scoop , and ice cream"
27,3,1,1,1,"slowly pour the finished coffee into the bowl"
27,5,1,1,1,"serve with a spoon"
28,0,1,1,1,"bring pot to sink and fill with water"
28,1,1,1,1,"put pot on stove"
28,2,1,1,1,"turn on stove"
29,1,1,1,1,"plug the controller into the xbox and put it on the table in front of the couch"
30,0,1,1,1,"bring pot to sink"
30,1,1,1,1,"fill pot with water"
30,2,1,1,1,"put pot on stove"
30,3,1,1,1,"turn stove on"
31,0,1,1,1,"grasp the vanilla syrup bottle"
31,1,1,1,1,"open the fridge door and place the bottle inside the fridge"
31,2,1,1,1,"close the fridge door"
31,3,1,1,1,"carry glass , long cup , mug , long cup , pot , and spoon near the sink"
32,0,1,1,1,"bring plates and cups to sink"
32,1,1,1,1,"put ice cream in refrigerator"
32,2,1,1,1,"put ramen in cabinet"
33,0,1,1,1,"turn music on"
33,1,1,1,1,"put chips coke and beer on table"
33,2,1,1,1,"put pillows on couch"
33,3,1,1,1,"put xbox and controller on tv stand"
34,1,1,1,1,"bring the pot onto the stove and turn the stove on"
35,0,1,1,1,"put movie in xbox"
35,1,1,1,1,"turn television on to xbox input"
35,2,1,1,1,"put chips on table"
35,3,1,1,1,"arrange pillows on couch"
36,0,1,1,1,"get a pot and fill it with water from the tap"
36,2,1,1,1,"get the package of ramen and open it"
36,3,1,1,1,"add the ramen to the water"
36,5,1,1,1,"serve with a fork"
38,0,1,1,1,"grab cup and glass and fill with sink water"
38,1,1,1,1,"open refrigerator and grab food"
38,2,1,1,1,"put food on plate"
39,0,1,1,1,"put all the school books on the table"
39,1,1,1,1,"turn off the tv and pour some chips and drinks"
40,0,1,1,1,"grab cd"
40,1,1,1,1,"turn music on"
40,2,1,1,1,"put chips and bowl on table"
40,3,1,1,1,"arrange pillow on couch"
40,4,1,1,1,"dispose garbage bag"
40,5,1,1,1,"arrange books on table"
41,0,1,1,1,"turn on tv"
41,2,1,1,1,"place the pillows on the couch"
42,0,1,1,1,"fill up the bowl with chips and put it on the table"
42,1,1,1,1,"if the bag of chips is empty throw away the bag in the garbage bag"
42,2,1,1,1,"put the garbage bag into the garbage bin"
43,0,1,1,1,"grab cd"
43,1,1,1,1,"turn music on"
43,2,1,1,1,"arrange chips on table"
43,4,1,1,1,"dispose garbage bag"
43,5,1,1,1,"arrange books on table"
43,6,1,1,1,"arrange pillows on couch"
43,7,1,1,1,"throw away beer and coke"
44,0,1,1,1,"place the pillows on the couch"
44,1,1,1,1,"put the beer bottle in the trash bin"
45,0,1,1,1,"arrange books on table"
45,1,1,1,1,"turn off television"
45,2,1,1,1,"arrange chips on table"
46,0,1,1,1,"grasp the spoon , fork , mug , and glass and bring to the sink"
46,2,1,1,1,"clean the sink with the running water"
46,3,1,1,1,"grab the vanilla syrup bottle and chocolate syrup bottle , and open the fridge door"
46,4,1,1,1,"place the bottles inside the fridge and close the fridge door"
50,0,1,1,1,"put the game cd on xbox"
50,2,1,1,1,"put the left pillow to right couch"
51,0,1,1,1,"get water in the pot from the sink then boil the water on the stove"
54,0,1,1,1,"put the empty cup and the dish to the sink"
55,3,1,1,1,"remove the trash bag from the scenario"
57,0,1,1,1,"put the pillows on the couch and the books on the table in front of the couch"
57,1,1,1,1,"turn off the tv"
58,0,1,1,1,"turn on the music"
61,1,1,1,1,"bring bag of chips and place on the center coffee table"
62,2,1,1,1,"put the controllers and remotes on the table"
62,3,1,1,1,"pick of the pillows"
63,0,1,1,1,"bring the pot to the sink and fill it up with water"
63,1,1,1,1,"bring the pot to the stove and turn on the stove"
63,2,1,1,1,"turn off the stove when the water in the pot is boiling"
64,1,1,1,1,"put the bag of chips to trash bin"
